index_feature,mapping_kind,asca_target,host,confidence,notes
voiced,rename,voice,,high,Index [±voiced] → ASCA voice (LARYNG node)
stressed,rename,stress,,high,Index [±stressed] → ASCA stress suprasegmental
sibilant,rename,strident,,high,Sibilant manner → strident (MANNER); not sonorant
rounded,rename,round,,high,[+rounded] vowel rounding
short,rename_invert,long,,medium,Index [+short] = ASCA [-long]; polarity inverted per spike 29
glottalized,rename_polarity,place,,medium,Index [±glottalized] → ASCA place with polarity invert (cf. glottal in spike 29)
glottal,rename_polarity,place,,medium,Index [±glottal] → ASCA place with polarity invert (cf. glottal in spike 29)
close-mid,bundle,"-hi,-lo,+tense",,high,Index [+close-mid] vowel height; ASCA mid row +tense per vowel-space table (0.10.2)
open-mid,bundle,"-hi,-lo,-tense",,high,Index [+open-mid] vowel height; ASCA mid row -tense per vowel-space table (0.10.2)
dental,bundle,"+cor,+anterior,+dist",C,high,Coronal dental; cf. diacritics.json denti-alveolar (spike 29)
alveolar,bundle,"+cor,+anterior,-dist",C,high,Coronal alveolar (spike 29)
palatal,bundle,"+cor,+dist",C,medium,Coronal palatal/post-palatal (spike 29)
velar,bundle,"-fr,+bk,+hi,-lo",C,high,Dorsal velar; matches group_mappings K (spike 29)
uvular,bundle,"-fr,+bk,-hi,-lo",C,high,Dorsal uvular; matches group_mappings Q uvular branch (spike 29)
guttural,rename,laryngeal,,high,Index [±guttural] → ASCA laryngeal
high tone,tone,5,,high,Index [+high tone] → ASCA [tone: 5] (Chinese-style default; ticket 62)
low tone,tone,1,,high,Index [+low tone] → ASCA [tone: 1]
falling tone,tone,51,,high,Index [+falling tone] → ASCA [tone: 51]
low falling tone,tone,21,,high,Index [+low falling tone] → ASCA [tone: 21]
high rising tone,tone,35,,high,Index [+high rising tone] → ASCA [tone: 35]
emphatic,rename,rtr,,high,Index [±emphatic] → ASCA rtr (note: emphatic is not present in the Index - the feature is created in manual_mappings
