index_feature,ipa_target,confidence,notes
ã,ã,high,Precomposed a-tilde → a + combining tilde; Tamil/French nasal vowel rules (n=34)
ẽ,ẽ,high,Precomposed e-tilde → e + combining tilde (n=33)
ı,j,low,Dotless i often marks glide in French aı̃/eı̃; Turkic ɯ contexts need cluster review (n=30)
ḱ,kʲ,high,PIE palatovelar (Leiden); ASCA accepts kʲ; sections 17.x Albanian/Anatolian/Armenian (n=28)
Ṽ,ṽ,high,Capital V-tilde; ASCA accepts lowercase ṽ; NC Melanesian rules V→Ṽ (n=27)
õ,õ,high,Precomposed o-tilde → o + combining tilde (n=26)
ь,ɪ,medium,Front yer (ь); reduced high front vowel in Slavic notation (n=20)
î,i,medium,Tariku raised i; ASCA rejects î; rules iC>î (n=18)
ũ,ũ,high,Precomposed u-tilde → u + combining tilde (n=11)
ó,o,medium,Acute o phoneme letter (n=7)
ŕ,r,low,Acute r orthography (7 rows); likely plain /r/ (n=7)
ŭ,u,medium,Breve u; ASCA rejects ŭ (n=6)
ъ,ɤ,medium,Back yer (ъ); reduced high back vowel; ASCA accepts ɤ (n=6)
Ṣ,ʂ,high,S with dot below (retroflex); ASCA accepts ʂ (n=6)
ȵ,ɲ,high,n-curl = palatal nasal in Polish rules (n=5)
è,ɛ,high,French close-mid front; rules show è>ɛ (n=4)
é,e,medium,French /e/ phoneme symbol; outputs often ɛ/ɛi by env (n=3)
ê,e,medium,Circumflex e as phoneme letter (n=3)
ò,o,medium,Grave o phoneme letter (n=3)
ā,aː,high,Macron a = long a (n=3)
Ł,ɬ,medium,Athabaskan TŁ lateral series component; not Polish ł>w (n=3)
ś,ɕ,medium,Polish palatalized s; ASCA accepts ɕ; some sections may intend ʃ (n=3)
ɚ,ə,medium,Rhotacized schwa; ASCA rejects ɚ; Naxi rules—ə or ɜ cluster review (n=3)
Ω,,defer,Middle Vietnamese author placeholder (tʃ>Ω); no stable IPA target (n=3)
å,ɔ,low,Ring-a; section-specific (2 rows) (n=2)
ŏ,o,low,Breve o; rare (n=2)
š,ʃ,high,Latin s-caron; same target as Š in ipa_mappings.csv (n=2)
â,ɑ,medium,French a-circumflex often open back /ɑ/ (n=1)
ë,e,low,Diaeresis e; rare (1 row) (n=1)
ô,o,medium,Circumflex o phoneme letter (n=1)
ú,u,medium,Acute u phoneme letter (n=1)
ē,eː,high,Macron e = long e (n=1)
ǵ,ɡʲ,high,PIE voiced palatovelar; parallel to ḱ (n=1)
ɿ,ɻ,low,Apical vowel (1 row); nearest accepted retroflex approximant (n=1)
ʅ,ʂ,low,Squat reversed esh (1 row); Americanist rare glyph (n=1)
ḛ,e,low,e-tilde-below; Totonacan creaky vowel mark (1 row) (n=1)
Ṭ,ʈ,high,T with dot below (retroflex); Chinese / Indic notation (n=1)
ṵ,u,low,u-tilde-below (1 row) (n=1)
Ạ,a,low,A-dot-below; Late MC notation (1 row); may be register mark not vowel (n=1)
ỹ,ỹ,medium,y-tilde; French ỹ>œ̃; ASCA accepts ỹ (n=1)
ð,ð,defer,ASCA accepts as segment; 1 inventory hits are prose/env not mapping (n=1)
ŋ,ŋ,defer,ASCA accepts as segment; 1 inventory hits are prose/env not mapping (n=1)
ɛ,ɛ,defer,ASCA accepts as segment; 1 inventory hits are prose/env not mapping (n=1)
ʝ,ʝ,defer,ASCA accepts as segment; 1 inventory hits are prose/env not mapping (n=1)
