grouping,mapping,comment
A,[+delrel],"Index affricate → ASCA delayed-release (no feature named affricate). Needs comprehensive validation."
B,V:[+back],"Index back vowel; V:[+back] tighter than bare [+back] (also matches velars/uvulars). Needs comprehensive validation."
D,P:[+voice],
E,V:[+front],"Index front vowel; V:[+front] tighter than bare [+front] (also matches palatals). Needs comprehensive validation."
H,[-place],"Index laryngeal ≈ glottals (h, ɦ, ʔ); replaces invalid/overbroad [+laryngeal]. Needs comprehensive validation."
J,[+approximant],"Index approximant; ASCA approximant also includes vowels/liquids. Needs comprehensive validation."
K,"[+cons,-fr,+bk,+hi,-lo]","Index velar approx (same matrix as SoundChangeRule.aliases). Needs comprehensive validation."
Ḱ,"[+cons,+front,+high]","Index palatovelar approx — not exact. Needs comprehensive validation."
M,VV,"Index diphthong approx; ASCA has no diphthong class. Needs comprehensive validation."
P,C:[+labial],"Index labial/bilabial; C:[+labial] avoids bare [+labial] on rounded vowels. Needs comprehensive validation."
Q,[+click],"Index also means uvular; this covers clicks only. Needs comprehensive validation."
R,S,"Index resonant/sonorant ≈ ASCA S (nasals+liquids only). Needs comprehensive validation."
S,P,Index plosive ↔ ASCA plosive grouping P
T,P:[-voice],
U,%,"ASCA whole syllable (not a segment; cannot substitute %↔segment). Needs comprehensive validation."
W,G,"Index semivowel ≈ ASCA glides G. Needs comprehensive validation."
Z,[+continuant],"Index continuant; ASCA also includes vowels/trills. Needs comprehensive validation."
